														SI7820
395	[Similar to: ethyl 3-[(4-chlorophenethyl)amino]-2-cyanoacrylate; ΔMass: 0.1059 Da]	C10 H26 N6 O S	278.18808	277.18083	3.493	[M-H]-1	Full match	Invalid mass			No match	6	No results	2.60E+07
396	[Similar to: 3-[(2-pyridylthio)methyl]-4,5-dihydro-1H-pyrazol-5-one; ΔMass: 38.1889 Da]	C14 H31 N O2	245.23554	246.24282	6.924	[M+H]+1	Full match	Invalid mass			No results	0	No results	1.49E+06
397	[Similar to: 2-[3-chloro-2-hydroxy-4-methoxy-6-(methoxycarbonyl)phenoxy]-6-hydroxy-4-methylbenzoic acid; ΔMass: 10.2329 Da]	C21 H36 N4 O3	392.2784	393.28567	3.908	[M+H]+1	Full match	Invalid mass			No results	0	No results	2.88E+07
398	[Similar to: 2-[3-chloro-2-hydroxy-4-methoxy-6-(methoxycarbonyl)phenoxy]-6-hydroxy-4-methylbenzoic acid; ΔMass: -6.7937 Da]	C21 H33 N3 O3	375.25189	376.25903	3.91	[M+H]+1	Full match	Invalid mass			No results	0	No results	9.14E+06
399	[Similar to: (2S,3R,4S,5S,6R)-6-({[(2R,3R,4R,5S,6R)-3,4-dihydroxy-6-(hydroxymethyl)-5-{[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy}oxan-2-yl]oxy}methyl)-3,4,5-trihydroxyoxan-2-yl (4aS,6aS,6bR,8R,9R,10R,11R,12aR,14bS)-8,10,11-trihydroxy-9-(hydroxymethyl)-2,2,6a,6b,9,12a-hexamethyl-1,2,3,4,4a,5,6,6a,6b,7,8,8a,9,10,11,12,12a,12b,13,14b-icosahydropicene-4a-carboxylate; ΔMass: -599.3407 Da]	C21 H21 N5 O2	375.16791	376.17518	4.168	[M+H]+1	Full match	Invalid mass			No match	2	No results	4.81E+06
400	9-Oxononanoic acid	C9 H16 O3	172.11005	217.10823	4.751	[M+FA-H]-1	Full match	No results			Full match	10	No results	3.07E+07
401	9-Nitrooleate	C18 H33 N O4	327.24082	328.24809	9.596	[M+H]+1	Full match	No results			Full match	2	No results	2.04E+06
402	9-(3-Methyl-5-pentyl-2-furyl)nonanoic acid	C19 H32 O3	308.23502	309.24242	3.468	[M+H]+1	Full match	No results			Full match	10	No results	2.83E+06
403	9,12-Hexadecadienoylcarnitine	C23 H41 N O4	395.30285	396.31012	3.87	[M+H]+1	No results	No results			Full match	1	No results	5.68E+05
404	9,12-Hexadecadienoylcarnitine	C23 H41 N O4	395.3029	396.31	3.393	[M+H]+1	No results	No results			Full match	1	No results	2.22E+06
405	9,10-epoxyoctadecenoic acid	C18 H32 O3	296.23515	297.24303	4.039	[M+H]+1	Full match	Invalid mass			Full match	15	No results	1.25E+07
406	9,10-Dihydroxystearic acid	C18 H36 O4	316.2615	315.25431	3.509	[M-H]-1	Full match	No results			Full match	11	No results	1.38E+07
407	8-Isopropyl-10a,12a-dimethyl-3,3a,5a,6,7,7a,9,10,10a,11,12,12a,12b,13c-tetradecahydro-2H,5H-1,4,13-trioxaindeno[4',5':6,7]cyclohepta[1,2,3-bc]acenaphthylene-3,5,13b(13aH)-triol	C25 H38 O6	434.26669	435.27393	3.554	[M+H]+1	Full match	No results			Full match	1	No results	7.58E+06
408	7-Aminomethyl-7-deazaguanine	C7 H9 N5 O	179.08076	180.08799	7.776	[M+H]+1	Full match	No results			Full match	2	No results	3.84E+05
409	6-{4-Oxo-5-[(2E)-2-penten-1-yl]-2-cyclopenten-1-yl}hexanoic acid	C16 H24 O3	264.1726	265.17989	3.575	[M+H]+1	Full match	No results			Full match	5	No results	2.16E+08
410	6-Hydroxy-8-methoxy-3-methyl-3,4-dihydro-1H-isochromen-1-one	C11 H12 O4	226.08412	227.09132	10.474	[M+H]+1	No match	Invalid mass	58	64.4	No match	14	No results	1.78E+07
411	6-Hydroxy-5-methyl-4,11-dioxoundecanoic acid	C12 H20 O5	244.13111	243.12375	4.749	[M-H]-1	Full match	No results			Full match	1	No results	1.55E+07
412	6-Deoxy-3-O-methyl-beta-D-galactopyranose	C7 H14 O5	178.0843	177.07709	10.156	[M-H]-1	Full match	No results			Full match	3	No results	1.59E+06
413	6-Butyryl-2,2,4,4-tetramethyl-1,3,5-cyclohexanetrione	C14 H20 O4	252.13621	251.12888	3.99	[M-H]-1	Full match	No results			Full match	3	No results	5.10E+06
414	6-Aminonicotinic acid	C6 H6 N2 O2	121.01641	122.02364	8.632	[M+H]+1	No match	Invalid mass	81.2	50.7	No results	0	No results	3.23E+06
415	6-Aminocaproic acid	C6 H13 N O2	131.09467	132.10194	10.45	[M+H]+1	Full match	Full match	63.7	43.2	Partial match	20	Full match	2.66E+07
416	6-Aminocaproic acid	C6 H13 N O2	131.09465	132.10193	10.787	[M+H]+1	Full match	Full match	63.7	43.2	Partial match	20	Full match	2.71E+07
417	6-Acetamido-2-oxohexanoic acid	C8 H13 N O4	187.08449	188.09176	8.804	[M+H]+1	Full match	No results			Full match	6	No results	1.22E+08
418	6-Acetamido-2-oxohexanoic acid	C8 H13 N O4	187.08453	188.0918	9.808	[M+H]+1	Full match	No results			Full match	6	No results	3.62E+07
419	6-(3-Methylpiperidino)[1,2,4]triazolo[4,3-b]pyridazine	C11 H15 N5	217.13151	218.13878	11.975	[M+H]+1	No match	Invalid mass	87.6	54.5	No match	2	No results	2.15E+08
420	6-(3-Methylpiperidino)[1,2,4]triazolo[4,3-b]pyridazine	C11 H15 N5	217.13149	218.13877	11.767	[M+H]+1	No match	Invalid mass	91.7	61.9	No match	2	No results	2.11E+08
421	5-phenylpentanol	C11 H16 O	164.12039	209.11863	3.717	[M+FA-H]-1	Full match	No results			Full match	17	No results	6.00E+06
422	5-methylthioribose	C6 H12 O4 S	180.04562	181.0529	7.892	[M+H]+1	Full match	No results			Full match	2	No results	2.66E+08
423	5-methylthioribose	C6 H12 O4 S	180.0456	181.05288	8.13	[M+H]+1	Full match	No results			Full match	2	No results	2.27E+08
424	5-methylthioribose	C6 H12 O4 S	180.04561	181.05288	9.511	[M+H]+1	Full match	No results			Full match	2	No results	2.76E+07
425	5-Methylcytosine	C5 H7 N3 O	125.0589	126.06617	7.891	[M+H]+1	Full match	No results			Full match	3	No results	7.52E+06
426	5-Methylcytosine	C5 H7 N3 O	125.05897	126.06625	12.076	[M+H]+1	Full match	No results			Full match	3	No results	1.96E+07
427	5-Indolol	C8 H7 N O	133.05301	132.04573	7.46	[M-H]-1	Full match	No results			Full match	11	No results	2.11E+06
428	5-Hydroxy-3-(4-hydroxyphenyl)-4-oxo-4H-chromen-7-yl hexopyranoside	C21 H20 O10	432.10544	433.1126	8.583	[M+H]+1	Full match	No results			Full match	20	No results	4.80E+05
429	5-Hydroxy-2-(4-hydroxyphenyl)-4-oxo-4H-chromen-7-yl 6-O-(carboxyacetyl)-beta-D-glucopyranoside	C24 H22 O13	518.10603	519.11339	9.738	[M+H]+1	Full match	No results			Full match	5	No results	4.51E+05
430	5-Hydantoinpropionic acid	C6 H8 N2 O4	172.04845	173.05571	10.783	[M+H]+1	Full match	No results			Full match	7	No results	1.65E+07
431	5-Hydantoinpropionic acid	C6 H8 N2 O4	172.04856	173.05575	10.241	[M+H]+1	Full match	No results			Full match	7	No results	6.01E+06
432	5-Hexyl-2-oxotetrahydro-3-furancarboxylic acid	C11 H18 O4	214.12061	213.11343	3.887	[M-H]-1	Full match	Invalid mass			Full match	3	No results	2.54E+07
433	5-guanidino-2-oxopentanoic acid	C6 H11 N3 O3	173.08012	174.08739	12.271	[M+H]+1	Full match	No results			Full match	1	No results	6.30E+05
434	5-Formyl-2-furoic acid	C6 H4 O4	140.01126	139.00399	12.311	[M-H]-1	Full match	No results			Full match	4	No results	1.03E+05
435	5-(4-Hydroxyphenyl)pentanoic acid	C11 H14 O3	194.09449	193.08724	4.056	[M-H]-1	Full match	No results			Full match	39	No results	5.48E+07
436	5-(4-Hydroxyphenyl)pentanoic acid	C11 H14 O3	194.09436	193.08711	4.555	[M-H]-1	Full match	No results			Full match	39	No results	1.02E+07
437	5-(4-Carboxy-3-methylbutyl)-1,5,6-trimethyl-1,2,3,5,6,7,8,8a-octahydro-1-naphthalenecarboxylic acid	C20 H32 O4	336.22923	337.23715	3.546	[M+H]+1	Full match	No results			Full match	57	No results	1.08E+07
438	5,8,12-Trihydroxy-2-oxododecanoic acid	C12 H22 O6	262.14146	261.13417	4.328	[M-H]-1	Full match	No results			Full match	2	No results	4.00E+06
439	5,5'-Dihydroxy-4,4',8',8'-tetramethyl-4,5-dihydro-2'H,3H-spiro[furan-2,6'-[7]oxabicyclo[3.2.1]oct[3]en]-2'-one	C14 H20 O5	268.13119	267.12374	4.753	[M-H]-1	Full match	No results			Full match	3	No results	9.14E+06
440	5'-O-beta-D-Glucosylpyridoxine	C14 H21 N O8	331.12661	332.13389	10.301	[M+H]+1	Full match	No results			Full match	1	No results	4.24E+05
441	4-vinylphenol sulfate	C8 H8 O4 S	200.0146	199.00732	4.407	[M-H]-1	Full match	No results			Full match	2	No results	2.73E+06
442	4-Nitrophenol	C6 H5 N O3	139.02697	140.03424	8.645	[M+H]+1	Full match	No results			Full match	6	No results	5.60E+06
443	4-nitrocatechol	C6 H5 N O4	155.0222	154.01492	7.386	[M-H]-1	Full match	No results			Full match	4	No results	3.27E+07
444	4-Nitrobenzoic acid	C7 H5 N O4	167.02232	212.02052	13.6	[M+FA-H]-1	Full match	No results			Full match	6	No results	2.28E+07
445	4-Methyleneglutamic acid	C6 H9 N O4	159.05317	160.06045	5.956	[M+H]+1	Full match	No results			Full match	5	No results	7.87E+05
446	4-Methyleneglutamic acid	C6 H9 N O4	159.05329	160.06045	6.531	[M+H]+1	Full match	No results			Full match	5	No results	3.00E+05
447	4-Methyleneglutamic acid	C6 H9 N O4	159.05334	158.04616	6.768	[M-H]-1	Full match	No results			Full match	5	No results	3.03E+05
448	4-Methyleneglutamic acid	C6 H9 N O4	159.05341	158.04614	5.636	[M-H]-1	Full match	No results			Full match	5	No results	8.09E+05
449	4-Methoxyaniline	C7 H9 N O	123.06862	122.06151	7.469	[M-H]-1	Full match	No results			Full match	11	No results	1.30E+07
450	4-Indolecarbaldehyde	C9 H7 N O	145.05307	144.0458	7.44	[M-H]-1	Full match	Full match	66	8.3	Partial match	9	No results	3.83E+07
451	4-Indolecarbaldehyde	C9 H7 N O	163.06356	164.07064	7.452	[M+H]+1	No results	Invalid mass	66	8.3	No match	7	No results	1.39E+07
452	4-hydroxy-L-glutamate dianion	C5 H7 N O5	161.0327	160.02544	13.08	[M-H]-1	Full match	No results			Full match	4	No results	2.20E+08
453	4-Hydroxy-3-nitrophenylacetic acid	C8 H7 N O5	197.03269	196.02541	4.31	[M-H]-1	Full match	No results			Full match	6	No results	9.43E+06
454	4-Hydroxy-3-nitrophenylacetic acid	C8 H7 N O5	197.03264	230.06613	12.868	[M+H+MeOH]+1	Full match	No results			Full match	6	No results	9.14E+06
455	4-Hydroxy-3-nitrophenylacetic acid	C8 H7 N O5	197.03275	196.02547	11.678	[M-H]-1	Full match	No results			Full match	6	No results	1.11E+06
456	4-Hydroxy-2-oxoheptanedioic acid	C7 H10 O6	190.04804	189.04076	12.789	[M-H]-1	Full match	No results			Full match	7	No results	4.16E+07
457	4-Hydroxy-2-oxoglutaric acid	C5 H6 O6	162.01676	161.00948	15.012	[M-H]-1	Full match	No results			Full match	3	No results	4.43E+06
458	4-aminocatechol	C6 H7 N O2	125.04794	124.0407	7.476	[M-H]-1	Full match	No results			Full match	7	No results	6.63E+06
459	4-Aminobenzoate	C7 H7 N O2	137.04773	138.055	11.028	[M+H]+1	Full match	No results			Partial match	15	Full match	1.71E+07
460	4-Amino-3-hydroxybenzoic acid	C7 H7 N O3	153.04259	154.04987	9.568	[M+H]+1	Full match	Full match	51	62.4	Partial match	16	No results	2.35E+07
461	4-acetamidobutyrate	C6 H11 N O3	145.07391	146.0812	9.135	[M+H]+1	Full match	No results			Full match	17	No results	2.61E+07
462	4-[(2-Isopropyl-5-methylcyclohexyl)oxy]-4-oxobutanoic acid	C14 H24 O4	256.16763	257.17491	4.56	[M+H]+1	No results	No results			Full match	4	No results	1.88E+06
463	4-[(1S)-1-Cyclohexyl-2-(2-piperidinyl)ethyl]cyclohexanol	C19 H35 N O	293.27174	294.27906	4.454	[M+H]+1	Full match	No results			Full match	2	No results	8.27E+07
464	4-(3-Phenylpropyl)phenyl hydrogen sulfate	C15 H16 O4 S	292.07685	291.06957	4.087	[M-H]-1	Full match	No results			Full match	4	No results	4.55E+05
465	4-(3-Phenylpropyl)phenyl hydrogen sulfate	C15 H16 O4 S	292.07687	291.06959	4.664	[M-H]-1	Full match	No results			Full match	4	No results	1.21E+06
466	4,5-Dihydroxy-3-oxo-1-cyclohexene-1-carboxylic acid	C7 H8 O5	172.03749	153.01966	7.464	[M-H-H2O]-1	Full match	No results			Full match	14	No results	1.48E+06
467	4,4'-Dihydroxydiphenylsulfone	C12 H10 O4 S	250.02997	249.02265	6.907	[M-H]-1	Full match	Full match	75.3	47.3	Full match	1	No results	7.48E+05
468	3-Succinoylpyridine	C9 H9 N O3	179.06165	180.06893	11.2	[M+H]+1	No match	Invalid mass	77.9	48.9	No match	6	No results	2.73E+07
469	3-O-beta-D-galactosyl-sn-glycerol	C9 H18 O8	254.10018	277.0894	12.161	[M+Na]+1	Full match	No results			Full match	4	No results	9.49E+05
470	3-Methyladenine	C6 H7 N5	149.06884	150.07614	9.744	[M+H]+1	No match	Invalid mass	55.4	41.8	No match	2	No results	9.30E+06
471	3-Methyladenine	C6 H7 N5	149.0702	150.07747	8.272	[M+H]+1	Full match	No results			Full match	6	No results	5.46E+06
472	3-Isopropylmalic acid	C7 H12 O5	176.06889	175.06162	7.475	[M-H]-1	Full match	Full match	62.4	62	Not the top hit	14	No results	3.75E+07
473	3-Indoleacetamide	C10 H10 N2 O	174.07921	175.08645	7.492	[M+H]+1	No results	No results			Full match	6	No results	1.37E+07
474	3-Hydroxytetradecanedioic acid	C14 H26 O5	274.17795	273.17064	3.685	[M-H]-1	Full match	No results			Full match	1	No results	1.08E+07
475	3-Hydroxysebacic acid	C10 H18 O5	218.1155	217.10822	7.441	[M-H]-1	Full match	No results			Full match	3	No results	2.23E+07
476	3-Hydroxysebacic acid	C10 H18 O5	218.11545	217.10817	5.888	[M-H]-1	Full match	No results			Full match	3	No results	6.46E+06
477	3-hydroxyoctanoylcarnitine	C15 H29 N O5	303.20445	302.19732	4.159	[M-H]-1	No results	No results			Full match	1	No results	1.11E+06
478	3-Hydroxy-N-(2-oxotetrahydro-3-furanyl)butanamide	C8 H13 N O4	187.08447	220.11794	4.755	[M+H+MeOH]+1	Full match	No results			Full match	6	No results	4.12E+06
479	3-Hydroxy-3-[(3-methylbutanoyl)oxy]-4-(trimethylammonio)butanoate	C12 H23 N O5	261.15763	260.15019	4.725	[M-H]-1	Full match	No results			Full match	1	No results	7.67E+06
480	3-Hydroxy-3-[(3-methylbutanoyl)oxy]-4-(trimethylammonio)butanoate	C12 H23 N O5	261.15757	260.1502	4.19	[M-H]-1	Full match	No results			Full match	1	No results	6.62E+06
481	3-Hydroxy-3-[(3-methylbutanoyl)oxy]-4-(trimethylammonio)butanoate	C12 H23 N O5	261.15761	260.15027	7.454	[M-H]-1	Full match	No results			Full match	1	No results	5.23E+06
482	3-Deoxy-D-manno-octulosonic acid	C8 H14 O8	238.06884	237.06156	11.916	[M-H]-1	Full match	No results			Full match	2	No results	6.14E+05
483	3-Carbamoyl-2-phenylpropionic acid	C10 H11 N O4	209.06895	208.06179	4.75	[M-H]-1	No results	No results			Full match	6	No results	1.38E+06
484	3-amino-4-{2-[4-(tert-butyl)phenyl]diaz-1-enyl}-4,5-dihydro-1H-pyrazol-5-one	C13 H17 N5 O	218.1155	217.10822	4.751	[M-H]-1	No match	Invalid mass	50.9	44.6	No match	3	No results	3.07E+07
485	3-amino-4-{2-[4-(tert-butyl)phenyl]diaz-1-enyl}-4,5-dihydro-1H-pyrazol-5-one	C13 H17 N5 O	259.14188	258.13453	4.733	[M-H]-1	No match	Invalid mass	53.6	45.1	No results	0	No results	3.79E+06
486	3-acetamidopropanal	C5 H9 N O2	115.06355	114.0563	4.755	[M-H]-1	Full match	No results			Full match	8	No results	1.59E+05
487	3-[2-(Dimethylamino)ethyl]-5-(1H-1,2,4-triazol-1-ylmethyl)-1H-indol-6-ol	C15 H19 N5 O	285.15756	286.16485	4.766	[M+H]+1	No results	No results			Full match	1	No results	7.14E+06
488	3-[2-(1,3-Benzodioxol-5-yl)-7-methoxy-1-benzofuran-5-yl]-3-hydroxypropyl hexopyranoside	C25 H28 O11	504.16879	503.16151	13.563	[M-H]-1	No match	Invalid mass	90.4	17.1	No match	48	No results	2.43E+05
489	3-[(2Z)-1-Oxo-2-buten-2-yl]pentanedioic acid	C9 H12 O5	200.06877	199.06149	4.491	[M-H]-1	Full match	No results			Full match	1	No results	1.46E+08
490	3-[(2,6-Dimethylheptanoyl)oxy]-4-(trimethylammonio)butanoate	C16 H31 N O4	301.22528	302.23256	10.696	[M+H]+1	Full match	No results			Full match	2	No results	6.90E+05
491	3-(4-hydroxy-3-methoxyphenyl)propanoic acid	C10 H12 O4	181.07393	182.08126	5.916	[M+H]+1	No match	Invalid mass	53.4	63.1	No match	22	No results	1.94E+07
492	3-(4-Hydroxy-3-methoxyphenyl)-2-methylpropanoic acid	C11 H14 O4	210.0895	209.08223	4.329	[M-H]-1	Full match	No results			Full match	22	No results	2.42E+07
493	3-(3-methylthio)propylmalic acid	C8 H14 O5 S	222.05622	223.0635	3.804	[M+H]+1	No results	No results			Full match	6	No results	3.30E+06
494	3-(3,4-dihydroxyphenyl)propanoic acid	C9 H10 O4	182.05795	165.05466	3.463	[M+H-H2O]+1	Full match	Full match	80.2	75.3	Not the top hit	39	No results	4.35E+06
495	3-(3,4-dihydroxyphenyl)propanoic acid	C9 H10 O4	164.04742	165.05469	3.456	[M+H]+1	No match	Invalid mass	80.2	75.3	No match	20	No results	4.35E+06
496	3-(2-Hydroxy-4-methoxy-phenyl)-acrylic acid	C10 H10 O4	194.05805	193.05082	10.737	[M-H]-1	Full match	No results			Full match	34	No results	1.90E+05
497	3,6,9,12-tetraoxatridecan-1-ol	C9 H20 O5	208.13111	209.13837	4.688	[M+H]+1	Full match	No results			Full match	1	No results	9.79E+05
498	3,4-Xylenol	C8 H10 O	122.07351	181.08736	4.085	[M-H+HAc]-1	Full match	No results			Full match	18	No results	9.16E+06
499	3,4-Dimethyl-5-pentyl-2-furanpropanoic acid	C14 H22 O3	238.15689	239.16415	3.665	[M+H]+1	Full match	No results			Full match	2	No results	3.66E+07
500	3,4-Dihydroxyphenylglycol	C8 H10 O4	170.05818	169.05092	4.592	[M-H]-1	Full match	No results			Full match	18	No results	8.23E+06
501	3,4,15-Trihydroxy-12,13-epoxytrichothec-9-en-8-yl 3-methylbutanoate	C20 H30 O7	382.19866	383.20585	3.696	[M+H]+1	No results	No results			Full match	6	No results	7.97E+06
502	3,4'-dihydroxy-5,5'-dimethoxybibenzyl	C16 H18 O4	274.12034	275.12765	3.599	[M+H]+1	Full match	No results			Full match	14	No results	3.13E+05
503	3'-N-debenzoyl-2'-deoxytaxol	C40 H47 N O12	733.3084	734.31568	4.156	[M+H]+1	Full match	No results			Full match	1	No results	8.53E+05
504	2S-Amino-tridecanoic acid	C13 H27 N O2	229.20429	262.23779	7.481	[M+H+MeOH]+1	Full match	No results			Full match	2	No results	1.70E+05
505	2KHZ9ELM84	C13 H18 O3	222.12563	223.13288	3.645	[M+H]+1	Full match	No results			Full match	15	No results	1.51E+07
506	2-{[(Hexadecyloxy)(hydroxy)phosphoryl]oxy}-N,N,N-trimethylethanaminium	C21 H47 N O4 P	408.32389	409.33125	3.449	[M+H]+1	No results	No results			Full match	1	No results	2.36E+06
507	2-Quinolinecarboxylic acid	C10 H7 N O2	173.04764	174.05492	6.681	[M+H]+1	Full match	No results			Full match	5	No results	6.73E+05
508	2-Piperazinecarboxylic acid	C5 H10 N2 O2	130.07426	131.08153	9.936	[M+H]+1	Full match	No results			Full match	9	No results	1.89E+07
509	2-Oxoglutarate	C5 H6 O5	146.02176	145.01453	13.349	[M-H]-1	Full match	No results			Full match	15	Full match	2.52E+06
510	2-Oxo-5-[(3E)-3-penten-1-yl]tetrahydro-3-furancarboxylic acid	C10 H14 O4	198.08928	243.08743	4.738	[M+FA-H]-1	Full match	No results			Full match	14	No results	1.78E+07
511	2-O-ETHYL ASCORBIC ACID	C8 H12 O6	204.06368	203.05642	14.356	[M-H]-1	Full match	No results			Full match	3	No results	5.67E+06
512	2-Methylpyrrolidine	C5 H11 N	85.08915	86.09643	17.412	[M+H]+1	Full match	No results			Full match	2	No results	2.57E+07
513	2-Methylcitrate	C7 H10 O7	206.04288	205.0356	13.152	[M-H]-1	Full match	No results			Partial match	9	Full match	5.81E+06
514	2-methylbutyrylcarnitine	C12 H23 N O4	245.1628	246.17008	12.05	[M+H]+1	Full match	No results			Full match	4	No results	4.41E+08
515	2-Methyl-4-quinolinol	C10 H9 N O	159.0687	158.06143	7.452	[M-H]-1	Full match	No results			Full match	8	No results	5.57E+05
516	2-Methoxynaphthalene	C11 H10 O	158.07323	191.10673	3.557	[M+H+MeOH]+1	Full match	No results			Full match	3	No results	1.20E+07
517	2-Methoxy-phloroglucinol	C7 H8 O4	156.04245	139.03899	11.807	[M+H-H2O]+1	Full match	Invalid mass			Full match	21	No results	5.91E+06
518	2-Methoxy-phloroglucinol	C7 H8 O4	156.04254	155.03531	12.534	[M-H]-1	Full match	No results			Full match	21	No results	5.34E+06
519	2-Methoxy-7,7,8b-trimethyloctahydrocyclopropa[4,5]indeno[5,6-c]furan-4a,5(4H)-diol	C16 H26 O4	282.18314	281.17586	3.616	[M-H]-1	Full match	No results			Full match	5	No results	9.00E+07
520	2-Methoxy-5-nitrophenol	C7 H7 N O4	169.03779	168.03052	13.604	[M-H]-1	Full match	No results			Full match	10	No results	3.84E+06
521	2-Isopropylmalic acid	C7 H12 O5	176.06872	175.06145	10.622	[M-H]-1	Full match	Full match	77.6	47.9	Full match	14	No results	1.31E+08
522	2-Isopropylmalic acid	C7 H12 O5	176.06872	175.06145	12.279	[M-H]-1	Full match	Full match	71.1	46.1	Full match	14	No results	7.99E+07
523	2-Isopropylmalic acid	C7 H12 O5	176.06873	175.06145	11.805	[M-H]-1	Full match	Full match	71.1	46.1	Full match	14	No results	8.47E+07
524	2-Hydroxymethyl-3,4-pyrrolidinediol	C5 H11 N O3	133.0739	134.08117	7.601	[M+H]+1	Full match	No results			Full match	6	No results	3.14E+07
525	2-Hydroxyethylclavam	C7 H11 N O3	157.07393	158.08117	4.771	[M+H]+1	Full match	No results			Full match	6	No results	4.75E+07
526	2-Hydroxy-N-(2-hydroxyethyl)propionamide	C5 H11 N O3	133.07394	134.08121	11.939	[M+H]+1	Full match	No results			Full match	6	No results	2.81E+07
527	2-Hexenoylcarnitine	C13 H23 N O4	257.16285	258.17013	10.735	[M+H]+1	Full match	No results			Full match	1	No results	4.86E+06
528	2-Furoic acid	C5 H4 O3	112.01637	171.03023	4.646	[M-H+HAc]-1	Full match	No results			Full match	5	No results	2.10E+07
529	2-Furoic acid	C5 H4 O3	112.01638	171.03024	12.632	[M-H+HAc]-1	Full match	No results			Full match	5	No results	1.13E+07
530	2-Furoic acid	C5 H4 O3	112.01633	157.01453	13.687	[M+FA-H]-1	Full match	No results			Full match	5	No results	2.29E+06
531	2-Furoic acid	C5 H4 O3	112.01635	171.03019	7.448	[M-H+HAc]-1	Full match	No results			Full match	5	No results	4.41E+06
532	2-Formyl-1H-pyrrole	C5 H5 N O	95.03731	154.05137	7.463	[M-H+HAc]-1	Full match	No results			Full match	3	No results	1.30E+07
533	2-Deoxypentitol	C5 H12 O4	136.07361	137.08088	9.919	[M+H]+1	Full match	No results			Full match	6	No results	4.35E+07
534	2-Deoxypentitol	C5 H12 O4	136.07358	137.0809	7.943	[M+H]+1	Full match	No results			Full match	6	No results	3.93E+05
535	2-Deoxy-4-O-[(2E)-3-(4-hydroxyphenyl)-2-propenoyl]pentaric acid	C14 H14 O8	310.06887	309.0616	10.726	[M-H]-1	Full match	No results			Full match	1	No results	1.27E+05
536	2-Deoxy-4-O-[(2E)-3-(4-hydroxyphenyl)-2-propenoyl]pentaric acid	C14 H14 O8	310.06894	309.06166	11.048	[M-H]-1	Full match	No results			Full match	1	No results	2.33E+05
537	2-Deoxy-4-O-[(2E)-3-(4-hydroxyphenyl)-2-propenoyl]pentaric acid	C14 H14 O8	310.0689	309.06163	11.323	[M-H]-1	Full match	No results			Full match	1	No results	1.47E+05
538	2-Aminomuconic acid	C6 H7 N O4	157.03781	202.036	12.781	[M+FA-H]-1	Full match	No results			Full match	6	No results	1.86E+06
539	2-Amino-4-pentynoic acid	C5 H7 N O2	113.04794	112.04068	4.754	[M-H]-1	Full match	No results			Full match	10	No results	2.36E+06
540	2-amino-3-oxoadipic acid	C6 H9 N O5	175.04815	158.04485	13.504	[M+H-H2O]+1	Full match	Invalid mass			Full match	6	No results	6.12E+06
541	2-amino-3-oxoadipic acid	C6 H9 N O5	175.0483	174.04102	12.708	[M-H]-1	Full match	No results			Full match	7	No results	5.84E+06
542	2-Acetamido-2-deoxy-D-gluconolactone	C8 H13 N O6	219.07427	218.06699	12.344	[M-H]-1	Full match	No results			Full match	4	No results	8.95E+06
543	2-[Amino(carboxy)methyl]cyclopropanecarboxylic acid	C6 H9 N O4	159.05344	158.04617	7.329	[M-H]-1	Full match	No results			Full match	5	No results	2.97E+06
544	2-[4-(3-Hydroxypropyl)-2-methoxyphenoxy]-1,3-propanediol	C13 H20 O5	256.13109	255.1238	3.955	[M-H]-1	Full match	No results			Full match	2	No results	4.10E+07
545	2-(Hydroxymethyl)-1-methyl-3,4,5-piperidinetriol	C7 H15 N O4	177.10017	178.10745	11.224	[M+H]+1	Full match	No results			Full match	3	No results	1.29E+07
546	2-(Hydroxymethyl)-1-methyl-3,4,5-piperidinetriol	C7 H15 N O4	177.10018	178.10748	11.743	[M+H]+1	Full match	No results			Full match	3	No results	1.21E+07
547	2-(Hydroxymethyl)-1-methyl-3,4,5-piperidinetriol	C7 H15 N O4	177.10018	178.10745	7.724	[M+H]+1	Full match	No results			Full match	3	No results	1.79E+06
548	2-(benzyl{2-[(1-methyl-1H-pyrazol-5-yl)amino]-2-oxoethyl}amino)acetic acid	C15 H18 N4 O3	302.13663	301.12939	4.752	[M-H]-1	Not the top hit	Full match	62.7	65.6	Partial match	3	No results	1.02E+07
549	2-((4-Nitrophenoxy)methyl)oxirane	C9 H9 N O4	195.05358	194.0463	12.425	[M-H]-1	Full match	No results			Full match	15	No results	2.26E+07
550	2,6-Dideoxy-3-O-methyl-L-arabino-hexopyranose	C7 H14 O4	162.08949	161.08221	4.412	[M-H]-1	Full match	No results			Full match	7	No results	3.84E+06
551	2,5-di-tert-Butylhydroquinone	C14 H22 O2	222.16208	221.15481	3.46	[M-H]-1	Full match	Full match	99.5	10	Partial match	9	No results	2.52E+07
552	2,4-Dihydroxy-2-(hydroxymethyl)-3-oxobutanoic acid	C5 H8 O6	164.03242	163.02514	13.59	[M-H]-1	Full match	No results			Full match	3	No results	1.67E+07
553	2,3-Dihydroxypropyl stearate	C21 H42 O4	358.30801	359.31538	4.905	[M+H]+1	Full match	No results			Full match	5	No results	1.83E+06
554	2,3-Dihydroxypropyl stearate	C21 H42 O4	358.30836	357.30109	4.464	[M-H]-1	Full match	No results			Full match	5	No results	1.66E+06
555	2,3-Dihydroxypropyl 3,4,5-trihydroxybenzoate	C10 H12 O7	244.05838	262.09223	13.431	[M+NH4]+1	Full match	No results			Full match	1	No results	3.00E+05
